card1,card2,win,lose
tour de l'enfer,geant royal,3,2
tour de l'enfer,dragon squelettes,5,5
tour de l'enfer,gobelin a sarbacane,4,6
geant royal,dragon squelettes,3,3
geant royal,gobelin a sarbacane,2,3
mini p.e.k.k.a,gardes,4,4
mini p.e.k.k.a,squelettes,14,3
mini p.e.k.k.a,sorciere,23,4
mini p.e.k.k.a,gobelin a lance,4,2
mini p.e.k.k.a,mineur,8,6
prince tenebreux,gardes,5,3
prince tenebreux,squelettes,8,2
prince tenebreux,sorciere,29,5
prince tenebreux,gobelin a lance,16,3
prince tenebreux,mineur,9,3
gardes,squelettes,2,0
gardes,sorciere,2,2
gardes,gobelin a lance,3,3
gardes,mineur,2,2
gardes,esprit de glace,3,0
squelettes,gobelin a lance,3,0
squelettes,mineur,3,3
sorciere,gobelin a lance,7,2
sorciere,mineur,12,4
gobelin a lance,mineur,4,1
gobelin a lance,esprit de glace,5,1
mineur,esprit de glace,13,5
fut a squelettes,guerrisseuse armee,5,2
fut a squelettes,chevalier,5,3
fut a squelettes,mega gargouille,6,2
fut a squelettes,mini p.e.k.k.a,13,7
fut a squelettes,esprit de feu,8,2
fut a squelettes,gobelin a sarbacane,10,6
fut a squelettes,bebe dragon,10,6
guerrisseuse armee,chevalier,7,1
guerrisseuse armee,mega gargouille,2,4
guerrisseuse armee,mini p.e.k.k.a,9,6
guerrisseuse armee,esprit de feu,3,2
guerrisseuse armee,bebe dragon,1,2
chevalier,mega gargouille,3,7
chevalier,mini p.e.k.k.a,14,6
chevalier,esprit de feu,2,4
chevalier,gobelin a sarbacane,9,5
chevalier,bebe dragon,3,7
mega gargouille,mini p.e.k.k.a,12,8
mega gargouille,esprit de feu,4,2
mega gargouille,gobelin a sarbacane,9,5
mega gargouille,bebe dragon,4,2
mini p.e.k.k.a,esprit de feu,11,5
mini p.e.k.k.a,bebe dragon,13,6
esprit de feu,gobelin a sarbacane,5,3
esprit de feu,bebe dragon,5,4
gobelin a sarbacane,bebe dragon,9,6
cabane de gobelin,tour a bombe,4,3
cabane de gobelin,sorcier,1,1
fut a barbare,tour a bombe,1,2
prince,sorcier,1,1
mega gargouille,tour a bombe,2,3
prince tenebreux,sorcier,1,1
tour a bombe,sorcier,1,2
tour a bombe,chevaucheur de cochon,3,2
trois mousquettaires,mega gargouille,1,2
trois mousquettaires,ballon,2,3
trois mousquettaires,fut a barbare,1,1
trois mousquettaires,cabane de gobelin,1,3
trois mousquettaires,sorcier,0,1
trois mousquettaires,geant royal,0,1
trois mousquettaires,chevaucheur de cochon,0,2
mega gargouille,ballon,4,2
mega gargouille,geant royal,0,3
ballon,fut a barbare,0,3
ballon,cabane de gobelin,0,3
ballon,sorcier,0,2
ballon,geant royal,0,1
ballon,chevaucheur de cochon,2,4
fut a barbare,geant royal,0,2
sorcier,geant royal,0,1
geant royal,chevaucheur de cochon,0,1
mega gargouille,belier de combat,5,5
mega gargouille,armee de squelettes,2,3
squelette geant,belier de combat,7,0
squelette geant,esprit de feu,4,2
squelette geant,armee de squelettes,7,1
squelette geant,fut a squelettes,10,3
squelette geant,mini p.e.k.k.a,16,3
belier de combat,gobelin a sarbacane,8,2
belier de combat,esprit de feu,6,2
belier de combat,armee de squelettes,3,4
belier de combat,fut a squelettes,10,2
belier de combat,mini p.e.k.k.a,15,5
esprit de feu,armee de squelettes,5,4
armee de squelettes,fut a squelettes,7,1
ballon,dragon squelettes,6,2
ballon,electrocution,5,3
ballon,barbares,1,2
ballon,gobelin a lance,2,2
ballon,gardes,1,3
ballon,mini p.e.k.k.a,6,5
ballon,prince tenebreux,6,1
dragon squelettes,barbares,1,0
dragon squelettes,gobelin a lance,9,2
dragon squelettes,gardes,2,1
electrocution,barbares,1,2
electrocution,gobelin a lance,2,1
electrocution,gardes,2,2
barbares,gobelin a lance,2,3
barbares,gardes,1,2
barbares,mini p.e.k.k.a,1,1
barbares,prince tenebreux,2,2
esprit de glace,tour a bombe,6,2
esprit de glace,pierre tombale,10,5
esprit de glace,tour de l'enfer,5,1
geant royal,tour a bombe,4,2
geant royal,pierre tombale,4,2
tour a bombe,tour de l'enfer,2,3
cabane de gobelin,pierre tombale,3,4
pierre tombale,tour de l'enfer,3,3
ballon,recrues royales,0,1
ballon,archeres,0,3
ballon,squelette geant,1,1
ballon,armee de squelettes,4,2
ballon,tour a bombe,3,3
sorcier,recrues royales,0,1
sorcier,armee de squelettes,0,1
sorcier,dragon squelettes,0,1
recrues royales,archeres,0,3
recrues royales,squelette geant,1,1
recrues royales,armee de squelettes,1,1
recrues royales,dragon squelettes,1,1
recrues royales,tour a bombe,0,1
archeres,armee de squelettes,0,2
archeres,dragon squelettes,0,2
archeres,tour a bombe,0,1
squelette geant,dragon squelettes,9,3
squelette geant,tour a bombe,1,1
prince,sorciere,3,2
prince,gardes,0,2
prince,fut a squelettes,0,2
prince,esprit de feu,0,3
sorciere,fut a gobelin,0,1
sorciere,squelette geant,7,6
sorciere,fut a squelettes,6,3
sorciere,esprit de feu,1,4
fut a gobelin,gardes,2,3
fut a gobelin,squelette geant,0,1
fut a gobelin,fut a squelettes,0,1
gardes,squelette geant,0,1
gardes,fut a squelettes,1,1
gardes,esprit de feu,0,1
bebe dragon,mortier,2,3
bebe dragon,prince tenebreux,12,4
bebe dragon,tour a bombe,1,2
bebe dragon,squelettes,3,3
bebe dragon,pierre tombale,5,4
bebe dragon,electrocution,2,4
bebe dragon,barbares,0,2
mortier,prince tenebreux,4,4
mortier,tour a bombe,0,2
mortier,squelettes,0,2
mortier,pierre tombale,0,2
mortier,electrocution,0,3
mortier,barbares,0,1
tour a bombe,squelettes,0,3
tour a bombe,barbares,0,1
squelettes,pierre tombale,7,2
squelettes,electrocution,0,3
squelettes,barbares,1,1
pierre tombale,barbares,0,1
mortier,trois mousquettaires,1,2
mortier,machine volante,0,1
mortier,armee de squelettes,0,1
mortier,archeres,0,1
mortier,golem de glace,0,1
mortier,prince,0,1
trois mousquettaires,machine volante,0,1
trois mousquettaires,armee de squelettes,0,2
trois mousquettaires,archeres,0,1
trois mousquettaires,golem de glace,0,1
trois mousquettaires,squelettes,3,4
trois mousquettaires,prince,0,1
machine volante,armee de squelettes,1,1
machine volante,archeres,0,4
machine volante,squelettes,0,2
machine volante,prince,1,2
armee de squelettes,golem de glace,0,2
armee de squelettes,squelettes,7,2
archeres,golem de glace,0,1
archeres,squelettes,4,2
golem de glace,prince,0,1
squelettes,prince,0,1
gobelin a sarbacane,gargouille,10,5
gobelins,gargouille,1,2
gobelins,chauves-souris,3,2
gobelins,bebe dragon,1,2
gargouille,mini p.e.k.k.a,10,7
gargouille,dragon squelettes,2,2
gargouille,bebe dragon,4,5
gargouille,armee de squelettes,6,4
mini p.e.k.k.a,chauves-souris,8,4
chauves-souris,dragon squelettes,4,2
chauves-souris,bebe dragon,5,2
chauves-souris,armee de squelettes,3,2
dragon squelettes,bebe dragon,7,4
bebe dragon,armee de squelettes,8,4
machine volante,pierre tombale,2,3
machine volante,esprit de glace,2,1
machine volante,geant,2,2
machine volante,chevaucheur de cochon,2,2
machine volante,tour a bombe,2,0
machine volante,mini p.e.k.k.a,5,6
pierre tombale,armee de squelettes,10,3
pierre tombale,geant,7,9
pierre tombale,chevaucheur de cochon,6,3
armee de squelettes,chevaucheur de cochon,5,2
geant,chevaucheur de cochon,4,5
chevaucheur de cochon,mini p.e.k.k.a,12,5
chevaucheur de cochon,gobelin a lance,0,2
gobelin a lance,pierre tombale,0,2
gobelin a lance,tour a bombe,0,1
gobelin a lance,gobelin a sarbacane,5,1
gobelin a lance,fut a barbare,0,2
gobelin a lance,prince,3,2
esprit de glace,gobelin a sarbacane,14,9
esprit de glace,fut a barbare,0,1
pierre tombale,gobelin a sarbacane,7,6
pierre tombale,fut a barbare,0,2
pierre tombale,prince,3,3
bebe dragon,horde de gargouille,7,1
bebe dragon,squelette geant,1,3
bebe dragon,sorciere,5,4
bebe dragon,fleche,3,3
horde de gargouille,mega gargouille,4,5
horde de gargouille,squelette geant,8,0
horde de gargouille,gobelin a sarbacane,4,3
horde de gargouille,sorciere,9,3
horde de gargouille,fleche,2,2
horde de gargouille,prince tenebreux,11,1
mega gargouille,sorciere,10,3
mega gargouille,fleche,3,1
squelette geant,prince tenebreux,14,3
gobelin a sarbacane,sorciere,11,5
gobelin a sarbacane,fleche,2,3
sorciere,fleche,3,4
fleche,prince tenebreux,5,2
prince,boule de feu,2,3
prince,cabane de barbares,5,2
gobelins,boule de feu,1,4
gobelins,tour de l'enfer,5,6
gobelins,cabane de gobelin,4,7
fut a barbare,boule de feu,2,3
boule de feu,cabane de barbares,6,3
boule de feu,tour de l'enfer,4,6
boule de feu,gobelin a sarbacane,6,4
boule de feu,cabane de gobelin,5,2
cabane de barbares,tour de l'enfer,4,3
cabane de barbares,cabane de gobelin,3,2
gobelin a sarbacane,cabane de gobelin,4,5
gobelin a sarbacane,canon,0,1
boule de feu,canon,0,1
boule de feu,squelette geant,3,2
cabane de barbares,canon,0,1
tour de l'enfer,canon,0,2
tour de l'enfer,squelette geant,0,2
gobelins,canon,0,3
canon,cabane de gobelin,0,3
canon,squelette geant,0,1
cabane de gobelin,squelette geant,1,2
tour a bombe,gardes,1,2
tour a bombe,sorciere,2,3
tour a bombe,chevalier,2,3
tour a bombe,belier de combat,3,3
gardes,chevalier,2,2
gardes,belier de combat,2,2
gardes,geant,1,1
sorciere,chevalier,9,4
sorciere,geant,13,4
chevalier,belier de combat,5,4
chevalier,prince tenebreux,11,7
chevalier,geant,4,4
belier de combat,prince tenebreux,18,1
belier de combat,geant,4,1
electrocution,geant,1,2
electrocution,horde de gargouille,8,4
electrocution,mega gargouille,6,4
electrocution,sorciere,8,7
electrocution,belier de combat,6,0
geant,horde de gargouille,2,3
geant,mega gargouille,3,3
horde de gargouille,belier de combat,4,2
horde de gargouille,mini p.e.k.k.a,8,6
gobelin geant,bebe dragon,0,2
gobelin geant,p.e.k.k.a,0,2
gobelin geant,horde de gargouille,0,1
gobelin geant,machine volante,0,1
gobelin geant,geant,0,1
gobelin geant,archeres,0,1
gobelin geant,mini p.e.k.k.a,0,1
bebe dragon,p.e.k.k.a,4,2
bebe dragon,machine volante,0,3
bebe dragon,geant,3,2
bebe dragon,archeres,0,1
p.e.k.k.a,horde de gargouille,3,2
p.e.k.k.a,machine volante,0,1
p.e.k.k.a,geant,0,2
p.e.k.k.a,archeres,1,3
p.e.k.k.a,mini p.e.k.k.a,7,6
horde de gargouille,machine volante,0,1
horde de gargouille,archeres,0,2
chevaucheur de cochon,roquette,2,1
sorcier,golem de glace,0,1
sorcier,cage gobeline,0,1
sorcier,roquette,0,1
sorcier,geant,0,1
golem de glace,roquette,0,1
golem de glace,geant,1,1
cage gobeline,squelette geant,0,2
cage gobeline,roquette,0,1
cage gobeline,fut a barbare,0,1
cage gobeline,geant,0,1
squelette geant,roquette,3,1
squelette geant,geant,0,1
roquette,fut a barbare,1,3
roquette,geant,0,4
fut a barbare,geant,3,4
mineur,barbares,0,1
mineur,belier de combat,0,1
mineur,armee de squelettes,3,2
mineur,ballon,3,4
gobelin a lance,belier de combat,2,1
gobelin a lance,armee de squelettes,0,2
barbares,belier de combat,0,1
barbares,armee de squelettes,0,1
belier de combat,ballon,1,3
gardes,armee de squelettes,1,1
gobelin a lance,cabane de gobelin,3,3
gobelin a lance,tour de l'enfer,3,2
gobelin a lance,geant,4,0
dragon squelettes,cabane de gobelin,5,7
tour de l'enfer,geant,4,4
gang de gobelin,gobelins,7,7
gang de gobelin,gobelin a lance,7,2
gang de gobelin,geant,10,3
gang de gobelin,tour de l'enfer,4,4
gang de gobelin,dragon squelettes,15,4
gang de gobelin,sorciere,13,9
gang de gobelin,prince tenebreux,20,3
gobelins,gobelin a lance,1,2
gobelins,geant,3,2
gobelins,sorciere,4,3
tour de l'enfer,sorciere,7,2
dragon squelettes,sorciere,12,2
sorciere,electro-esprit,5,3
sorciere,ballon,4,5
fleche,electro-esprit,1,1
fleche,gang de gobelin,2,2
fleche,esprit de glace,5,2
fleche,ballon,3,0
electro-esprit,horde de gargouille,3,0
electro-esprit,gang de gobelin,9,4
electro-esprit,prince tenebreux,9,2
electro-esprit,esprit de glace,5,2
electro-esprit,ballon,1,0
horde de gargouille,gang de gobelin,5,4
horde de gargouille,esprit de glace,9,2
horde de gargouille,ballon,3,3
gang de gobelin,esprit de glace,14,6
gang de gobelin,ballon,5,5
esprit de glace,ballon,7,4
mortier,gobelins,1,2
mortier,roquette,3,1
mortier,cabane de gobelin,1,1
mortier,p.e.k.k.a,3,2
mortier,guerrisseuse armee,2,1
mortier,fut a gobelin,2,0
gobelins,roquette,4,3
roquette,prince tenebreux,8,5
roquette,cabane de gobelin,4,1
roquette,p.e.k.k.a,5,3
roquette,guerrisseuse armee,1,2
roquette,fut a gobelin,2,2
prince tenebreux,guerrisseuse armee,14,4
cabane de gobelin,p.e.k.k.a,4,4
cabane de gobelin,guerrisseuse armee,5,2
p.e.k.k.a,guerrisseuse armee,1,0
gargouille,chasseur,2,1
gargouille,sorciere,3,4
gargouille,fournaise,0,1
gargouille,trois mousquettaires,1,2
gargouille,gardes,0,1
gargouille,chevalier,5,3
chasseur,sorciere,0,2
chasseur,fournaise,1,1
chasseur,trois mousquettaires,0,1
chasseur,gobelin a lance,0,1
chasseur,gardes,0,1
chasseur,chevalier,3,2
sorciere,fournaise,0,1
sorciere,trois mousquettaires,3,5
fournaise,trois mousquettaires,0,2
fournaise,gobelin a lance,1,3
fournaise,gardes,0,2
fournaise,chevalier,2,2
trois mousquettaires,gobelin a lance,0,1
trois mousquettaires,gardes,1,1
trois mousquettaires,chevalier,0,3
gobelin a lance,chevalier,2,2
esprit de feu,cabane de gobelin,3,2
esprit de feu,prince tenebreux,3,4
esprit de feu,geant royal,2,2
esprit de feu,geant,5,6
esprit de feu,tour a bombe,3,2
esprit de feu,pierre tombale,4,3
guerrisseuse armee,geant royal,1,0
guerrisseuse armee,geant,3,2
guerrisseuse armee,tour a bombe,1,3
guerrisseuse armee,pierre tombale,6,4
geant,mineur,7,5
geant,mortier,1,1
mineur,dragon squelettes,8,3
mineur,mortier,4,1
mineur,gang de gobelin,9,5
esprit de glace,dragon squelettes,16,2
esprit de glace,mortier,4,3
dragon squelettes,mortier,4,1
mortier,sorciere,1,4
mortier,gang de gobelin,3,2
cage gobeline,mortier,0,1
cage gobeline,guerrisseuse armee,0,1
cage gobeline,mega gargouille,2,2
cage gobeline,tour a bombe,1,2
belier de combat,mortier,0,1
belier de combat,guerrisseuse armee,8,3
mortier,mega gargouille,0,1
mortier,valkyrie,0,1
guerrisseuse armee,sorciere,0,1
guerrisseuse armee,valkyrie,0,1
mega gargouille,valkyrie,0,2
tour a bombe,valkyrie,0,1
mega gargouille,gobelins,0,4
mega gargouille,esprit de glace,4,5
esprit de feu,gobelins,1,3
esprit de feu,esprit de glace,6,3
cabane de barbares,chevalier,3,6
cabane de barbares,p.e.k.k.a,5,9
cabane de barbares,sorciere,13,4
cabane de barbares,esprit de glace,8,5
cabane de barbares,electrocution,3,3
gobelin a sarbacane,p.e.k.k.a,7,4
gobelin a sarbacane,electrocution,7,8
boule de feu,chevalier,5,2
boule de feu,p.e.k.k.a,3,3
boule de feu,sorciere,11,3
boule de feu,esprit de glace,10,2
boule de feu,electrocution,5,4
chevalier,p.e.k.k.a,1,3
chevalier,esprit de glace,8,5
chevalier,electrocution,3,3
p.e.k.k.a,sorciere,8,4
p.e.k.k.a,electrocution,4,1
esprit de glace,electrocution,9,5
cabane de gobelin,squelettes,3,3
cabane de gobelin,belier de combat,7,5
cabane de gobelin,gargouille,4,2
cabane de gobelin,chauves-souris,3,2
squelettes,mega gargouille,3,1
squelettes,gargouille,4,3
squelettes,chauves-souris,5,2
squelettes,esprit de feu,3,3
belier de combat,gargouille,6,2
chauves-souris,esprit de feu,4,3
belier de combat,dragon squelettes,3,2
dragon squelettes,chevalier,4,2
geant royal,gardes,2,0
geant royal,fleche,1,2
gardes,p.e.k.k.a,2,3
gardes,fleche,2,0
gardes,archeres,1,1
p.e.k.k.a,fleche,3,4
fleche,fut a gobelin,2,0
fleche,archeres,1,1
electrocution,cabane de gobelin,4,1
electrocution,archeres,0,2
electrocution,tour de l'enfer,3,3
gobelin a lance,archeres,1,2
pierre tombale,archeres,1,3
dragon squelettes,horde de gargouille,6,3
cabane de gobelin,horde de gargouille,4,2
gargouille,horde de gargouille,4,3
gargouille,electrocution,7,1
gargouille,tour de l'enfer,2,7
horde de gargouille,tour de l'enfer,1,4
esprit de glace,guerrisseuse armee,2,1
esprit de glace,roquette,1,2
cabane de gobelin,mineur,0,1
guerrisseuse armee,dragon squelettes,4,3
roquette,mineur,0,2
roquette,dragon squelettes,3,3
bebe dragon,prince,3,1
bebe dragon,berserker,3,2
bebe dragon,roquette,2,1
esprit de feu,berserker,2,4
esprit de feu,barbares,0,1
esprit de feu,roquette,0,2
chevalier,prince,0,2
chevalier,berserker,4,2
chevalier,barbares,0,1
chevalier,roquette,1,2
prince,berserker,0,1
prince,barbares,0,1
prince,roquette,1,2
geant,berserker,2,3
geant,barbares,0,1
berserker,roquette,0,3
barbares,roquette,0,2
archeres,gang de gobelin,1,1
archeres,sorciere,3,3
gang de gobelin,fut a barbare,2,2
gang de gobelin,squelettes,6,0
gang de gobelin,mini p.e.k.k.a,14,7
gang de gobelin,chevaucheur de cochon,8,4
geant,squelettes,5,0
sorciere,fut a barbare,9,3
fut a barbare,squelettes,2,2
fut a barbare,mini p.e.k.k.a,8,3
esprit de feu,horde de gargouille,3,1
esprit de feu,gang de gobelin,4,3
esprit de feu,ballon,4,2
pierre tombale,horde de gargouille,4,2
pierre tombale,gang de gobelin,11,5
pierre tombale,ballon,3,5
geant,ballon,1,3
horde de gargouille,tour a bombe,2,2
gang de gobelin,tour a bombe,3,2
fut a squelettes,electrocution,7,3
fut a squelettes,prince tenebreux,14,5
esprit de feu,electrocution,6,3
